ID,Reference,Journal,Year,Main Author,Country,latitude,longitude,OrganicCarbonClassification,controlmean,controlsd,treatmentmean,treatmentsd,controln,treatmentn,Notillageyears,fertilize kgN/ha,monoculture,Layer,layer,Altitude-m,MAT°C,MAP mm,BD,soil types,pH,Texture
30,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,SOC,22.04,3.735816627,25.7,5.412689154,3,3,17,210,Yes,0-20,Top,1137,7.733333411,400,1.06,Calcaric-Fluvic Cambisols ,,clayloam
31,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,SOC,16.18,2.742536888,17.71,3.729911475,3,3,17,105,Yes,0-20,Top,1137,7.733333411,400,1.2,Calcaric-Fluvic Cambisols ,,clayloam
32,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,SOC,17.48,2.962889049,20.72,4.363848999,3,3,17,180,Yes,0-20,Top,1137,7.733333411,400,1.2,Calcaric-Fluvic Cambisols ,,clayloam
33,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,SOC,18.13,3.073065129,22.47,4.732417326,3,3,17,210,Yes,0-20,Top,1137,7.733333411,400,1.2,Calcaric-Fluvic Cambisols ,,clayloam
34,"TILLAGE EFFECT ON SOIL ORGANIC MATTER,
MYCORRHIZAL HYPHAE AND AGGREGATES IN A
MEDITERRANEAN AGROECOSYSTEM",,2010,Gustavo Curaqueo,Chile,-33.66666667,-70.63333333,MAOC,5.07,0.89,6.38,1.49,10,10,6,,No,0-20,Top,753,14.85833327,330,1.769999981,,8,loam
35,"Organic matter distribution in aggregate sizes of a mollisol
under contrasting managements",Journal of Soil Science and Plant Nutrition,2011,M. Mandiola,Argentina,-37.9025,-58.31333333,MAOC,28.81,2.06,30.1,1.71,10,10,18,120,No,0-20,Top,138,13.9,950,1.779999971,"Luvic Phaeozem (FAO
Classification)",6.2,loam
36,"Organic matter distribution in aggregate sizes of a mollisol
under contrasting managements",Journal of Soil Science and Plant Nutrition,2011,M. Mandiola,Argentina,-37.9025,-58.31333333,MAOC,27.3,2.06,28.06,1.36,10,10,18,120,No,0-20,Top,138,13.9,950,1.779999971,"Luvic Phaeozem (FAO
Classification)",6.2,loam
37,"Organic matter distribution in aggregate sizes of a mollisol
under contrasting managements",Journal of Soil Science and Plant Nutrition,2011,M. Mandiola,Argentina,-37.9025,-58.31333333,MAOC,27.84,2.06,28.6,1.36,10,10,18,120,No,0-20,Top,138,13.9,950,1.779999971,"Luvic Phaeozem (FAO
Classification)",6.2,loam
38,"Organic matter distribution in aggregate sizes of a mollisol
under contrasting managements",Journal of Soil Science and Plant Nutrition,2011,M. Mandiola,Argentina,-37.9025,-58.31333333,POC,3.88,1.36,5.17,1.71,10,10,18,120,No,0-20,Top,138,13.9,950,1.779999971,"Luvic Phaeozem (FAO
Classification)",6.2,loam
39,"Organic matter distribution in aggregate sizes of a mollisol
under contrasting managements",Journal of Soil Science and Plant Nutrition,2011,M. Mandiola,Argentina,-37.9025,-58.31333333,POC,2.69,1.36,5.17,1.71,10,10,18,120,No,0-20,Top,138,13.9,950,1.779999971,"Luvic Phaeozem (FAO
Classification)",6.2,loam
40,"Organic matter distribution in aggregate sizes of a mollisol
under contrasting managements",Journal of Soil Science and Plant Nutrition,2011,M. Mandiola,Argentina,-37.9025,-58.31333333,POC,3.01,1.01,4.84,1.71,10,10,18,120,No,0-20,Top,138,13.9,950,1.779999971,"Luvic Phaeozem (FAO
Classification)",6.2,loam
41,"CARBON STOCKS IN ORGANIC MATTER FRACTIONS AS AFFECTED BY LAND
USE AND SOIL MANAGEMENT, WITH EMPHASIS ON NO-TILLAGE EFFECT",,2002,Cimélio Bayer,Brazil,-27.25,-50.33333333,MAOC,3.407692308,0.03,4.584615385,0.19,3,3,10,,No,0-20,Top,1100,16,2061,1.75,Hapludox,6.9,clayloam
42,"Water-Stable Aggregates and Organic Matter Fractions in Conventional-
and No-Tillage Soils",,1994,M. H. Beare,USA,33.9,-83.4,MAOC,18.92,3.44,22.8,4.3,4,4,13,100,No,0-20,Top,202,16.54166663,1270,1.38,,5.199999809,sandyclayloam
43,"Water-Stable Aggregates and Organic Matter Fractions in Conventional-
and No-Tillage Soils",,1994,M. H. Beare,USA,33.9,-83.4,MAOC,17.73,3.46,13.41,3.46,4,4,13,100,No,0-20,Top,202,16.54166663,1270,1.51,,5.199999809,sandyclayloam
44,"Distribution of soil aggregates and organic carbon in
deep soil under long-term conservation tillage with
residual retention in dryland",Journal of Arid Land,2019,WANG Bisheng,CHINA,37,112,MAOC,8.11,1.4,14.59,0.63,3,3,14,105,Yes,0-20,Top,997,9.725000232,484,1.710000038,Calcaric-Fluvic Cambisol,8,sandyloam
45,"Distribution of soil aggregates and organic carbon in
deep soil under long-term conservation tillage with
residual retention in dryland",Journal of Arid Land,2019,WANG Bisheng,CHINA,37,112,MAOC,7.87,0.29,13.13,1.02,3,3,14,105,Yes,0-20,Top,997,9.725000232,484,1.710000038,Calcaric-Fluvic Cambisol,8,sandyloam
46,"Distribution of soil aggregates and organic carbon in
deep soil under long-term conservation tillage with
residual retention in dryland",Journal of Arid Land,2019,WANG Bisheng,CHINA,37,112,MAOC,7.1,0.47,8.8,0.82,3,3,14,105,Yes,20-40,Sub,997,9.725000232,484,1.74000001,Calcaric-Fluvic Cambisol,8.199999809,sandyloam
47,"Distribution of soil aggregates and organic carbon in
deep soil under long-term conservation tillage with
residual retention in dryland",Journal of Arid Land,2019,WANG Bisheng,CHINA,37,112,MAOC,4.75,0.52,4.56,0.34,3,3,14,105,Yes,40-60,Sub,997,9.725000232,484,1.74000001,Calcaric-Fluvic Cambisol,8.300000191,sandyloam
48,"Distribution of soil aggregates and organic carbon in
deep soil under long-term conservation tillage with
residual retention in dryland",Journal of Arid Land,2019,WANG Bisheng,CHINA,37,112,MAOC,5.19,0.76,3.55,0.24,3,3,14,105,Yes,60-80,Sub,997,9.725000232,484,1.730000019,Calcaric-Fluvic Cambisol,8.300000191,sandyloam
49,"Distribution of soil aggregates and organic carbon in
deep soil under long-term conservation tillage with
residual retention in dryland",Journal of Arid Land,2019,WANG Bisheng,CHINA,37,112,MAOC,4.58,0.52,3,0.67,3,3,14,105,Yes,80-100,Sub,997,9.725000232,484,1.730000019,Calcaric-Fluvic Cambisol,8.300000191,sandyloam
50,"Distribution of soil aggregates and organic carbon in
deep soil under long-term conservation tillage with
residual retention in dryland",Journal of Arid Land,2019,WANG Bisheng,CHINA,37,112,SOC,17.4556213,0.295857988,20.88757396,0.414201183,3,3,14,105,Yes,0-20,Top,997,9.725000232,484,1.710000038,Calcaric-Fluvic Cambisol,8,sandyloam
51,"Distribution of soil aggregates and organic carbon in
deep soil under long-term conservation tillage with
residual retention in dryland",Journal of Arid Land,2019,WANG Bisheng,CHINA,37,112,SOC,16.33136095,0.473372781,19.34911243,0.295857988,3,3,14,105,Yes,0-20,Top,997,9.725000232,484,1.710000038,Calcaric-Fluvic Cambisol,8,sandyloam
52,"Distribution of soil aggregates and organic carbon in
deep soil under long-term conservation tillage with
residual retention in dryland",Journal of Arid Land,2019,WANG Bisheng,CHINA,37,112,SOC,13.37278107,0.591715976,13.84615385,0.295857988,3,3,14,105,Yes,20-40,Sub,997,9.725000232,484,1.74000001,Calcaric-Fluvic Cambisol,8.199999809,sandyloam
53,"Distribution of soil aggregates and organic carbon in
deep soil under long-term conservation tillage with
residual retention in dryland",Journal of Arid Land,2019,WANG Bisheng,CHINA,37,112,SOC,7.573964497,0.473372781,9.289940828,0.591715976,3,3,14,105,Yes,40-60,Sub,997,9.725000232,484,1.74000001,Calcaric-Fluvic Cambisol,8.300000191,sandyloam
54,"Distribution of soil aggregates and organic carbon in
deep soil under long-term conservation tillage with
residual retention in dryland",Journal of Arid Land,2019,WANG Bisheng,CHINA,37,112,SOC,5.325443787,0.355029586,4.082840237,0.177514793,3,3,14,105,Yes,60-80,Sub,997,9.725000232,484,1.730000019,Calcaric-Fluvic Cambisol,8.300000191,sandyloam
55,"Distribution of soil aggregates and organic carbon in
deep soil under long-term conservation tillage with
residual retention in dryland",Journal of Arid Land,2019,WANG Bisheng,CHINA,37,112,SOC,4.151785714,0.200892857,3.214285714,0.401785714,3,3,14,105,Yes,80-100,Sub,997,9.725000232,484,1.730000019,Calcaric-Fluvic Cambisol,8.300000191,sandyloam
56,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,2.54,0.12,2.63,0.45,3,3,3,924,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
57,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,1.54,1.76,2.37,0.78,3,3,3,924,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
58,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,3.03,0.41,3.68,1.93,3,3,3,852,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
59,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,2.06,0.33,3.6,0.7,3,3,3,996,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
60,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,2.49,0.8,2.56,0.78,3,3,3,924,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
61,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,1.19,1.48,1.71,0.48,3,3,3,924,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
62,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,1.12,1.18,1.82,0.74,3,3,3,852,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
63,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,0.87,0.76,1.62,0.7,3,3,3,996,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
64,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,1.07,0.53,0.83,0.98,3,3,3,924,No,20-40,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
65,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,0.46,0.34,1.1,0.65,3,3,3,924,No,20-40,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
66,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,0.68,0.14,1.97,0.65,3,3,3,852,No,20-40,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
67,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,0.74,0.79,1.18,1.07,3,3,3,996,No,20-40,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
68,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,0.57,0.58,1.1,0.45,3,3,3,924,No,40-60,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
69,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,0.78,0.69,1.61,0.7,3,3,3,924,No,40-60,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
70,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,0.51,0.24,0.75,0.84,3,3,3,852,No,40-60,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
71,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,MAOC,1.81,0.15,1.83,0.65,3,3,3,996,No,40-60,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
72,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,3.06,0.33,3.72,0.21,3,3,3,924,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
73,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,3.51,0.74,3.74,0.66,3,3,3,924,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
74,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,3.27,0.33,2.7,1.23,3,3,3,852,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
75,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,3.72,0.25,3.89,0.45,3,3,3,996,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
76,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,1.87,1.08,2.17,0.7,3,3,3,924,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
77,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,2.19,1.16,1.93,0.78,3,3,3,924,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
78,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,2.2,0.8,1.89,0.6,3,3,3,852,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
79,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,2.55,0.46,2.08,0.38,3,3,3,996,No,0-20,Top,20,13.1,531,1.700000048,Aquic Cambosol,7.900000095,siltyloam
80,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,1.3,0.14,1.15,0.34,3,3,3,924,No,20-40,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
81,"Effects of Diversified Cropping Sequences and Tillage Practices
on Soil Organic Carbon, Nitrogen, and Associated Fractions in the North China Plain",Journal of Soil Science and Plant Nutrition,2021,Ahmad Latif Virk,CHINA,37.6,116.35,POC,1.39,0.48,1.33,0.77,3,3,3,924,No,20-40,Sub,20,13.1,531,1.710000038,Aquic Cambosol,8,siltyloam
